arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
أو,կամ,və ya,edo,বা,ili,или,o,или,o,ili,eller,aŭ,või,o,tai,ou,ან,oder,ή,અથવા,oswa,"ai ole ia,",או,los yog,vagy,eða,ma ọ bụ,atau,nó,o,または,utawa,ಅಥವಾ,немесе,ឬ,an,же,ຫຼື,vel,vai,oder,или,na,atau,അഥവാ,jew,ranei,किंवा,буюу,वा,او یا,و یا,lub,ou,ਜ,sau,poʻo,или,kana,يا,හෝ,alebo,ama,o,atawa,au,eller,ё,அல்லது,లేదా,หรือ,یا,yoki,hoặc,okanye,אָדער,tabi,noma
كان,էր,idi,izan,ছিল,imao,имаше,tingut,имаше,avia,imala,havde,havis,tuli,nagkaroon,oli,tivo,ჰქონდა,hatte,είχε,હતી,te gen,i,היה לי,muaj,volt,hafði,nwere,memiliki,bhí,aveva,持っていた,wis,ಹೊಂದಿತ್ತು,болды,មាន,hebû,бар болчу,ໄດ້,quod,bija,hu,имаше,nanana,mempunyai,ഉണ്ടായിരുന്നു,kellhom,ia,होते,байсан,थियो,وو,حال,miał,teve,"ਸੀ,",a avut,sa,Имао,aiva,پيو,තිබූ,mal,lahayd,tenido,geus,alikuwa,hade,"буд,",இருந்தது,వచ్చింది,มี,تھا,bor,có,kwafuneka,האט,ní,kwadingeka
و,The,bu,du,দী,u,на,la,на,l,biti,den,la,alates,ang,päälle,o,ზე,die,ο,આ,nan,ka,עבור,tus,az,sem,na,itu,an,il,インクルード,ing,ದಿ,The,នេះ,ew,тиштер,ໄດ້,in,siltums,der,на,ny,yang,നബി,l-,te,अगोदर निर्देश,олон тоо,को,د,تر,kilka,o,The,a făcut,le,ово,ari,جي,මෙම,biela,ka,la,nu,akaonekana,den,дар,தி,ది,ได้,فہرست,The,các,le,די,awọn,lo
من,եւ,və,of,এর,od,от,d’,от,di,od,af,de,kohta,ng,jos,de,საქართველოს,von,από,ના,nan,a,של,ntawm,a,af,nke,dari,ar,di,の,saka,ನ,туралы,នៃ,ji,боюнча,ຂອງ,de,no,vun,на,ny,daripada,ഒരു,tal,o,च्या,-ийн,को,د,از,stopa,de,ਦੇ,de,a,од,pamusoro,جي,පිළිබඳ,z,ah,de,ti,ya,av,аз,உள்ள,యొక్క,ของ,کے,ning,của,ye,פון,ti awọn,of
إلى,մինչեւ,qədər,arte,থেকে,u,да,a,да,à,kako bi,til,por,kuni,sa,to,a,მიზეზი,zu,να,માટે,gen,i,אל,mus rau,hogy,að,na-,untuk,go,a,へ,kanggo,ಗೆ,қарай,ដើម្បី,ber,үчүн,ການທີ່ຈະ,ut,līdz,ze,да,ny,kepada,ലേക്ക്,li,ki,ते,нь,गर्न,ته,به,do,a,ਨੂੰ,la,i,до,kuti,جي طرف,කිරීමට,na,si ay u,a,ka,kwa,till,ба,செய்ய,కు,ที่จะ,کرنے کے لئے,uchun,để,ukuze,צו,to,kuya
و,իսկ,və,eta,এবং,i,и,i,и,e,i,og,kaj,ja,at,ja,e,და,und,και,અને,ak,a,ו,thiab,és,og,na,dan,agus,e,そして,lan,ಮತ್ತು,мен,និង,û,жана,ແລະ,et,un,an,и,ary,dan,ഒപ്പം,u,ka,आणि,болон,र,او,و,i,e,ਹੈ ਅਤੇ,și,ma,и,uye,۽,හා,a,iyo,y,jeung,na,och,ва,மற்றும்,మరియు,และ,اور,va,và,kwaye,און,ati ki o,futhi
و,ա,a,a,একটি,a,а,ella,а,un,kraj,en,a,aeg,isang,tehdä,unha,საკვები,ein,α,એક,yon,he,זמן,ib tug,ügynökség,A,a,sebuah,a,un,は,sing,ಒಂದು,а,មួយ,yek,бир,ເປັນ,a,seši,eng,на,ny,yang,ഒരു,a,a,एक,нь,एक,یو,دست,ciągnąć,uma,ਇੱਕ,o,se,Старт,munhu,هڪ,වූ,cesta,a,un,a,a,en,як,ஒரு,ఒక,กรอก,ایک,a,một,i,אַ,kan,a
في,– ին,da,in,মধ্যে,u,в,en,в,in,u,i,en,aastal,sa,sisään,en,წლის,bei,σε,માં,nan,iloko o,ב,nyob rau hauv,itt,í,na,di,i,in,で,ing,ರಲ್ಲಿ,жылы,នៅក្នុង,li,боюнча,ໃນ,in,in,an,во,amin’ny,dalam,ലെ,fil,i roto i te,मध्ये,нь,मा,په,در,w,em,ਵਿੱਚ,în,i,у,mu,۾,දී,v,in,en,dina,katika,i,дар,உள்ள,లో,ใน,میں,ichida,trong,e,אין,ni,in
نحن,մենք,biz,dugu,আমরা,smo,ние,nosaltres,ние,avemu,smo,vi,ni,me,namin,me,nós,ჩვენ,wir,εμείς,અમે,nou,makou,אנחנו,peb,mi,við,anyị,kami,againn,noi,我々,kita,ನಾವು,біз,យើង,em,биз,ພວກເຮົາ,nos,mēs,mir,ние,izahay,kami,ഞങ്ങള്,aħna,tatou i,आम्ही,бид,हामी,موږ,ما,my,nós,ਸਾਨੂੰ,noi,tatou,ми,isu,اسان,අපි,sme,waxaan,nos,urang,sisi,vi,мо,நாம்,మేము,เรา,ہم,bizlar,chúng tôi,thina,מיר,a,thina
علبة,կարող,bilərsiniz,ahal,করতে পারেন,moći,може,pot,може,pò,može,kan,povas,saab,maaari,voida,pode,სისტემაში,können,μπορεί,આ કરી શકો છો,kapab,hiki,יכול,tau,lehet,getur,ike,bisa,Is féidir,lattina,缶,bisa,ಮಾಡಬಹುದು,болады,អាច,qûtîk,алат,ສາມາດເຮັດໄດ້,potest,var,kënnen,може,afaka,boleh,കഴിയും,jista,taea e,हे करू शकता,болох,गर्न सक्छन्,کولای شي,می توانید,puszka,lata,ਕਰ ਸਕਦੇ ਹੋ,poate,mafai,цан,anogona,سگهن ٿا,පුළුවන්,moci,awood,lata,bisa,unaweza,kan,метавонад,முடியாது,చెయ్యవచ్చు,สามารถ,کر سکتے ہیں,mumkin,có thể,unako,קענען,le,okusemandleni
خارج,դուրս,həyata,out,আউট,out,от,sortida,от,fora,iz,ud,el,välja,out,ulos,fóra,აქტის,aus,από,બહાર,soti,aku,את,tawm,ki,út,si,out,amach,fuori,アウト,metu,ಔಟ್,жүзеге,ចេញ,derve,чыккан,ອອກ,ex,ārā,aus,надвор,avy,keluar,പുറത്ത്,out,i roto i,बाहेर,гарах,बाहिर,څخه,از,na zewnątrz,fora,ਬਾਹਰ,afară,i fafo,напоље,panze,ٻاهر,පිටතට,out,out,fuera,geus kaluar,nje,ut,берун аз,வெளியே,అవుట్,ออก,باہر,tashqarida,ra,phandle,אויס,jade,ukuphuma
البعض,այլ,digər,beste,অন্যান্য,druge,други,un altre,други,lucca,drugi,andre,aliaj,muu,ibang,muut,outro,სხვა,andere,άλλα,અન્ય,lòt,kekahi,אחר,lwm yam,más,annað,ọzọ,lainnya,eile,altro,その他,liyane,ಇತರ,басқа,ផ្សេងទៀត,yên din,башка,ອື່ນໆ,alia,citi,aner,други,hafa,lain,മറ്റ്,oħra,atu,इतर,бусад,अन्य,نور,دیگر,inne,outro,ਨੂੰ ਹੋਰ,alte,ese,Друго,mwe,ٻئي,වෙනත්,ďalšie,kale,otros,nu lain,nyingine,andra,дигар,மற்ற,ఇతర,อื่น ๆ,دیگر,boshqa,khác,omnye,אנדערע,miiran,ezinye
و,են,idi,ziren,ছিল,bili,бяха,eren,бяха,eranu,bili su,var,estis,olid,ay,olivat,foron,იყო,waren,ήταν,હતા,yo te,he,היו,twb,voltak,voru,ndị,yang,bhí,erano,だった,padha,ಎಂದು,болды,នាក់,bûn,болгон,ໄດ້,erant,bija,goufen,беа,ireo,adalah,ആയിരുന്നു,kienu,he,होते,байсан,थिए,وو,بود,były,foram,ਸਨ,au fost,sa,су,vakanga,ويا,වූහ,boli,jiray,eran,éta,walikuwa,var,буданд,இருந்தன,ఉన్నాయి,เป็น,تھے,edi,là,zaye,זענען,wọn,babengamadoda
التي,որը,hansı,bertan,যা,koja,които,que,които,chì,koji,som,kio,mis,kung saan,joka,que,რომელიც,die,ο οποίος,જે,ki,ka mea,ש,uas,amely,sem,nke,yang,a,che,これ,kang,ಇದು,қай,ដែល,kîjan,кайсы,ທີ່,quibus,kas,déi,кои,izay,yang,ഏത്,li,nei,जे,нь,जो,چې,که,który,que,", ਜੋ ਕਿ",care,lea,која,izvo,ڪھڙي,වන,ktorý,taas oo,que,nu mana,ambayo,vilken,кадом,இது,ఇది,ซึ่ง,جس,qaysi,mà,apho,וואָס,eyi ti,okuyinto
القيام,անել,etmək,egin,কি,do,правя,fer,правя,fà,raditi,gøre,fari,teha,gawin,tehdä,facer,გაკეთება,tun,κάνει,કરી,fè,hana,לעשות,ua,csinálni,gera,eme,melakukan,dhéanamh,fare,やる,apa,ಹಾಗೆ,істеу,ធ្វើបាន,çi,эмне,ເຮັດແນວໃດ,facite,do,maachen,направи,atao,melakukan,ചെയ്യുക,do,te mahi,करू,хийх,के,نه,انجام,zrobić,fazer,ਕਰਦੇ,face,fai,учинити,ita,ٿا,කරන්න,robiť,samayn,hacer,teu,kufanya,göra,кор,செய்,చేయండి,ทำ,کر,nima,làm,ukwenza,טאָן,ṣe,enza
من,իրենց,onların,beren,তাদের,svoje,си,seva,си,i so,svoje,deres,iliaj,oma,ang kanilang,niiden,súa,მათი,ihre,τους,તેમના,yo,ko lakou,שלהם,lawv,ezek,þeirra,ha,mereka,n-,loro,それらの,sing,ತಮ್ಮ,олардың,របស់ពួកគេ,yê wê,алардын,ຂອງເຂົາເຈົ້າ,eorum,viņu,hir,нивните,ny,mereka,അവരുടെ,tagħhom,ratou,त्यांच्या,тэдний,आफ्नो,د هغوی,شان,ich,seu,ਆਪਣੇ,lor,latou,њихове,zvavo,سندن,ඔවුන්ගේ,ich,ay,su,maranéhanana,yao,deras,онҳо,தங்கள்,వారి,ของพวกเขา,ان,ularning,của họ,zabo,זייער,wọn,yabo
الوقت,ժամանակ,vaxt,denbora,সময়,vrijeme,време,temps,време,tempu,vrijeme,tid,tempo,aeg,oras,aika,tempo,დრო,Zeit,χρόνος,સમય,tan,manawa,זמן,lub sij hawm,idő,tími,oge,waktu,am,tempo,時間,wektu,ಸಮಯ,уақыт,ពេលវេលា,dem,убакыт,ທີ່ໃຊ້ເວລາ,tempore,laiks,zäit,време,fotoana,masa,കാലം,ħin,te wā,वेळ,цаг,समय,وخت,زمان,czas,tempo,ਵਾਰ,timp,taimi,Време,nguva,وقت,කාලය,čas,waqtiga,tiempo,waktu,wakati,tid,вақт,நேரம்,సమయం,เวลา,وقت,vaqt,thời gian,ixesha,צייַט,akoko,nesikhathi
